Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
1240;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;325;Транзитные тепловые сети в подвале
1250;004;Надземная часть здания;023;Кровля;141;Световой фонарь;516;Каркас опорный под световой фонарь
1250;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;154;Магистрали систем ХВС, ГВС в подвале и (или) тех. этаже
1260;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;323;Траншея и основание под прокладку тепловой сети
1270;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;356;Траншеи и основание под наружные сети хозяйственно - бытовой и ливневой канализации
1280;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;358;Трубопроводы и колодцы наружных сетей хозяйственно - бытовой и ливневой канализации
1290;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;349;Наружный водопровод из ПНД труб
1300;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;357;Основание под колодец хозяйственно - бытовой и ливневой канализации
1310;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;359;Лотки и лестницы в колодцах наружных сетей хозяйственно - бытовой и ливневой канализации
1320;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;334;Траншеи. Электрические сети 0,4/10 кВ (земляные работы)
1330;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;348;Траншея и основание под прокладку наружного водопровода
1340;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;505;Сети канализации под плитой
1340;007;Внутриплощадочные наружные сети;036;Наружные внутриплощадочные сети газоснабжения;112;Внутриплощадочные НГС;374;Наружные сети газоснабжения
1350;004;Надземная часть здания;023;Кровля;141;Световой фонарь;517;Монтаж светового фонаря
1350;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;151;Магистрали системы противопожарного водопровода В2 в подвале и (или) тех. этаже
1350;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);140;Сжатый воздух;506;Магистрали сжатого воздуха
1360;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;153;Магистрали канализации в подвале и (или) тех. этаже
1370;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;170;Магистрали ливневой канализации в подвале и (или) тех. этаже
1380;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;442;Коллекторы систем ХВС/ГВС
1390;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;086;Оштукатуривание стен;266;Подготовка наружных стен под монтаж отопительных приборов
1400;004;Надземная часть здания;023;Кровля;141;Световой фонарь;518;Монтаж нащельников светового фонаря
1400;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;177;Отопительные приборы
1400;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);140;Сжатый воздух;509;Монтаж (обвязка) компрессора
1410;004;Надземная часть здания;022;Двери;043;Двери технических помещений;103;Технические входные двери, двери тех. этажей, люки
1420;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;321;Узел прохода тепловой сети через ограждающие конструкции подземной части здания
1430;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;351;Водопроводные вводы
1440;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;352;Водопроводные коверы
1450;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;581;Металлические балки
1450;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;317;Наружные тепловые сети в ж/б каналах
1460;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;320;Попутный дренаж наружных тепловых сетей
1470;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;326;Сильфонные компенсаторы тепловой сети
1480;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;322;Система ОДК тепловой сети
1490;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;328;Промывка наружных тепловых сетей
1500;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;166;Рампа;582;Рампа
1500;004;Надземная часть здания;017;Сборные элементы каркаса;134;Сборный каркас здания;514;Заделка монтажного проема
1500;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);140;Сжатый воздух;507;Оконечное оборудование сжат. воздуха
1500;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;362;Телеметрический контроль наружных сетей хозяйственно - бытовой и ливневой канализации
1510;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;355;Промывка наружного водопровода
1520;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;354;Гидравлические испытания наружного водопровода
1530;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;446;Водоотводные лотки
1540;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;327;Гидравлические испытания наружных тепловых сетей
1550;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;410;Отопительные приборы в с/у
1560;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;452;Отопительные приборы МОП/ЛК
