Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
2300;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;296;Отделка водомерного узла
2310;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;299;Отделка насосной
2315;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;103;Отделка бассейна;598;Облицовка плиткой стен и пола помещения бассейна
2320;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;157;Насосные установки противопожарного водоснабжения
2330;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;158;Циркуляционные насосные установки
2340;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;478;Повысительные насосные установки
2350;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;298;Отделка кабельного ввода
2350;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;103;Отделка бассейна;602;Испытания гидроизоляции чаши бассейна
2360;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;295;Отделка ГРЩ
2370;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;221;ВРУ
2380;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;220;ГРЩ
2390;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;339;Расключение ГРЩ. Электрические сети 0,4/10 кВ
2400;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;104;Шумоизоляция;311;Акустические панели
2410;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;127;Потолки из ГКЛ с подсистемой;405;Потолки из ГКЛ с подсистемой
2420;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;297;Отделка ИТП
2430;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;178;ИТП и УУТЭ
2440;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;180;Приточные установки системы теплоснабжения
2450;002;Организация строительной площадки (ПОС);008;Временные дороги и площадки;011;Временные площадки;027;Демонтаж временных площадок складирования
2460;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;301;Отделка венткамер
2470;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;093;Выравнивание поверхности стен и потолков;283;Подготовка стен и потолков в квартирах
2480;002;Организация строительной площадки (ПОС);006;Временное ограждение строительной площадки;006;Ограждение;017;Демонтаж ж/б плит ограждения
2480;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;551;СТК. Вент. оборудование
2490;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;093;Выравнивание поверхности стен и потолков;457;Подготовка стен МОП
2500;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;074;ПНР (испытание/тестирование);512;ПНР грузоподъемного крана
2500;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;089;Окраска потолков;274;Окраска потолков 1 слой
2510;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;455;Плитка на балконах
2520;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;144;Отделка в шахтах лифта
2530;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;139;Кронштейны и направляющие лифта
2540;004;Надземная часть здания;023;Кровля;054;Покрытие террасы;119;Покрытия террасы
2550;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;093;Минераловатные плиты утеплителя (надстроек на кровле)
2560;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;094;Армирующий слой фасадов (надстроек на кровле)
2570;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;095;Декоративное оштукатуривание фасада по минераловатной плите (надстроек на кровле)
2570;004;Надземная часть здания;023;Кровля;053;Скатная кровля;614;Обшивка стен надстроек металлом
2580;004;Надземная часть здания;023;Кровля;055;Окрытия и прочие свесы;121;Окрытия надстройки
2590;004;Надземная часть здания;023;Кровля;055;Окрытия и прочие свесы;123;Окрытия балконов верхних этажей
2600;004;Надземная часть здания;023;Кровля;055;Окрытия и прочие свесы;120;Окрытия парапетов
2610;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;088;"Декоративное оштукатуривание ""мокрого"" фасада (с балконов)"
2620;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;415;Ограждения французских балконов
2630;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;087;"Декоративное оштукатуривание ""мокрого"" фасада (с лесов)"
2640;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;091;Оштукатуривание потолков балконов (лоджий)
2640;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;610;СТК. Решетки КИВ на фасадах
2650;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;433;Покраска фасадной краской (с балконов, 1й слой)
2660;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;435;Покраска фасадной краской (с лесов, 1й слой)
2670;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;089;"Покраска ""мокрого"" фасада (с балконов в 2 слоя)"
2680;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;324;Тепловая камера
2690;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;090;"Покраска ""мокрого"" фасада (с лесов в 2 слоя)"
2700;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;092;Окраска потолков балконов (лоджий)
2710;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;096;Покраска фасадной краской (надстроек на кровле в 2 слоя)
2720;004;Надземная часть здания;021;Окна;042;Оконные и дверные балконные блоки;102;Отливы оконных блоков
2730;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;434;Покраска фасадной краской (с балконов, 2й слой)
2740;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;129;Нащельники и устройство межэтажных швов
2750;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;132;Ограждения балконов
2760;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;134;Ограждения кровли
2765;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;611;Крюки для альпинистов
2770;002;Организация строительной площадки (ПОС);007;Временные здания и сооружения;008;Пост мойки колес;021;Демонтаж поста мойки колес
2780;002;Организация строительной площадки (ПОС);007;Временные здания и сооружения;009;Бытовой городок;023;Демонтаж бытового городка
2790;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;155;Горизонтальная разводка по с/у
2800;004;Надземная часть здания;020;Фасады;038;Мокрые штукатурные фасады;436;Покраска фасадной краской (с лесов, 2й слой)
2810;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;284;Каркасы коробов в с/у
2820;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;285;Каркасы коробов в МОП
2830;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;127;Открывающиеся створки витражей
2840;004;Надземная часть здания;020;Фасады;037;Навесные вентилируемые фасады;445;Утеплитель до облицовочной кладки
2850;004;Надземная часть здания;022;Двери;044;Двери МОП;104;Двери в МОП
2860;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;304;Отделка иных специальных помещений (КУИ и пр.)
2870;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;302;Отделка помещений диспетчерской и охраны
2880;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;453;Каркасы коробов в ЛК
2890;004;Надземная часть здания;022;Двери;045;Входные двери квартир/помещений;105;Входные двери квартир/помещений
2900;010;Услуги Заказчика строительства / Генподрядчика;044;Организация работы крана башенного;120;Башенные краны;393;Демонтаж фундаментов под башенные краны
2910;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;319;Наружные тепловые сети из полимерных и коррозионностойких трубопроводов
2920;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;414;Бетонирование пандусов
2930;004;Надземная часть здания;022;Двери;044;Двери МОП;420;Двери переходных балконов
2940;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;083;Откосы и подоконники;474;Оштукатуривание откосов
2950;004;Надземная часть здания;020;Фасады;041;Облицовка фасадов лицевым кирпичом;099;Облицовка фасадов лицевым кирпичом
2960;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;083;Откосы и подоконники;262;Откосы и подоконники
2970;004;Надземная часть здания;020;Фасады;040;Облицовка цоколя плитами из керамогранита;098;Облицовка цоколя плитами из керамогранита
2970;004;Надземная часть здания;020;Фасады;040;Облицовка цоколя плитами из керамогранита;547;Утеплитель цоколя
2980;004;Надземная часть здания;020;Фасады;040;Облицовка цоколя плитами из керамогранита;548;Армирующий слой цоколя
2980;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;083;Откосы и подоконники;497;Откосы дверей
2990;004;Надземная часть здания;020;Фасады;040;Облицовка цоколя плитами из керамогранита;549;Камень (плитка) цоколя
2990;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;135;Металлоконструкции входных групп
3000;004;Надземная часть здания;020;Фасады;039;Фасады сэндвич панелей;097;Сэндвич панели (фасад надземного паркинга)
3010;004;Надземная часть здания;022;Двери;046;Ворота паркинга;106;Ворота паркинга
3020;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;083;Откосы и подоконники;496;Откосы окон
3030;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;083;Откосы и подоконники;475;Подоконники
3040;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;209;Расключение щитов квартирных (ЩК)
3050;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;438;Оборудование щитов этажных (счётчики, автоматы)
3060;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;229;Щиты ПД/ДУ и т.д.
3070;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;077;СКУД;238;Вызывные панели + щиты СКУД
3080;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;087;Отделка лестничной клетки;268;Утеплитель ЛК
3090;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;087;Отделка лестничной клетки;269;Армирующий слой утеплителя ЛК
3100;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;181;Гидравлические испытания системы отопления
3110;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;160;Санитарный фаянс, полотенцесушители
3120;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;159;Водомерный узел
3130;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;162;Гидравлические испытания систем ХВС, ГВС
3140;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;330;Неподвижная опора тепловой сети
3150;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;318;Наружные тепловые сети, бесканальная прокладка
3160;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;171;Испытания системы хоз-быт канализации проливом
3170;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;163;Гидравлические испытания противопожарного водопровода В2
3180;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;182;Тепловые испытания системы отопления, теплоснабжения
3190;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;169;Испытания ливневой канализации К2 методом наполнения
3200;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;403;Магистрали системы воздуховодов в подвале и (или) тех. этаже
3210;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;071;Кабельные конструкции (лоток);208;Кабельные конструкции (короб, лоток)
3220;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;165;Система АУВПТ
3220;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;091;Стяжка помещений;278;Фиброцементная стяжка (переходные балконы и межэтажные перекрытия)
3230;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;448;Транзитные воздуховоды систем вентиляции коммерческих помещений
3240;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;103;Отделка бассейна;310;Гидроизоляция и отделка бассейна
3250;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;168;Изоляция систем ХВС, ГВС
3260;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;286;Зашивка коробов в с/у
3260;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;585;Зашивка коробов в с/у (ДОО)
3270;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;084;Натяжные потолки;481;Пристенный кант потолка
3280;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;084;Натяжные потолки;263;Натяжные потолки
3290;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;464;Металлический каркас лифта (бизнес)
3300;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;084;Натяжные потолки;480;Натяжные потолки в с/у
3310;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;293;Плитка в МОП
3325;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;103;Отделка бассейна;597;Гидроизоляция стен и пола помещения бассейна
3330;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;136;Колёсоотбойные ограждения
3340;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;080;Телефонизация, ТВ;255;Распределительные коробки и оконечное оборудование ТВ
3350;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;080;Телефонизация, ТВ;252;Распределительные коробки и оконечное оборудование ТФ
3360;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;468;Плитка МОП стены (бизнес)
3370;004;Надземная часть здания;021;Окна;042;Оконные и дверные балконные блоки;437;Алюминиевые оконные блоки
3370;004;Надземная часть здания;021;Окна;042;Оконные и дверные балконные блоки;594;Металлические окна
3380;010;Услуги Заказчика строительства / Генподрядчика;045;Грузоподъёмные механизмы;121;Грузоподъёмники;395;Демонтаж грузоподъёмников
3390;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;447;Конвекторы
3400;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;102;Нанесение разметки;309;Разметка в паркинге
3410;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;179;Счётчики учёта (отопление)
3420;004;Надземная часть здания;020;Фасады;037;Навесные вентилируемые фасады;082;Камень (плитка) вентфасада
3430;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;108;Монтаж сети наружного освещения;345;Анкерное основание опор (НО) наружного освещения с учетом земляных работ
3440;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;108;Монтаж сети наружного освещения;346;Опоры, светильники, тестирование (НО) наружного освещения
3450;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;108;Монтаж сети наружного освещения;344;Обратная засыпка сети (НО) наружного освещения
3460;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;108;Монтаж сети наружного освещения;347;Щит управления (НО) наружного освещения
3470;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;388;Разметка, дорожные знаки, иное оборудование организации дорожного движения
3480;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;340;БКТП
3490;002;Организация строительной площадки (ПОС);008;Временные дороги и площадки;011;Временные площадки;029;Демонтаж площадки для размещения бытового городка
3500;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;338;Расключение БКТП. Электрические сети 0,4/10 кВ
3510;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;385;Озеленение (деревья, кустарники)
3520;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;485;Архитектурная подсветка здания
3530;004;Надземная часть здания;023;Кровля;056;Наружная водосточная система;124;Наружная водосточная система
3540;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;467;Плитка МОП полы (бизнес)
3550;004;Надземная часть здания;024;Витражное остекление;058;Стеклянные конструкции;463;Заполнение каркасов ограждений кровли стеклом (бизнес)
3560;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;187;Вентиляторы, решетки и КИВ в квартирах
3560;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;607;Вентиляторы вытяжные, решетки, диффузоры
3570;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);065;Отопление;183;Изоляция систем отопления, теплоснабжения
3580;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;161;Счётчики ХВС, ГВС
3590;004;Надземная часть здания;024;Витражное остекление;058;Стеклянные конструкции;130;Стеклянные козырьки
3600;005;Внутренние инженерные системы;026;Вертикальный транспорт;062;Подъёмники для маломобильных групп населения;148;Подъёмники для маломобильных групп населения
3610;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;128;Витражи встроенных помещений
3620;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;073;Молниезащита;490;Контур заземления молниезащиты (в т.ч. опуски по фасаду)
3630;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;386;Малые архитектурные формы
3640;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;387;Ограждения площадок и сооружений
3650;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;332;Оборудование котельной
3660;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;141;Этажные двери шахт лифтов (порталов)
3670;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;303;Отделка машинного помещения
3680;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;331;Дымоходная труба
3690;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;143;Лифтовое оборудование
3700;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;140;Оборудование лифтового приямка
3710;005;Внутренние инженерные системы;026;Вертикальный транспорт;124;Эскалаторы;461;Направляющие и каркас эскалатора
3720;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;389;Табличка номера корпуса (милицейский адрес)
3730;005;Внутренние инженерные системы;026;Вертикальный транспорт;125;Гидравлические подъемники;400;Гидравлические подъёмники
3740;004;Надземная часть здания;024;Витражное остекление;058;Стеклянные конструкции;131;Стеклянные ограждения террас
3750;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;287;Зашивка коробов в МОП
3750;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;586;Зашивка коробов в МОП (ДОО)
3755;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;136;Сантехнические модули;583;Каркасы и утепление СТМ
3760;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;110;Прифундаментный дренаж;369;Люки и крышки на колодцах прифундаментного дренажа
3770;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;094;Короба МОП и с/у;454;Зашивка коробов в ЛК
3780;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;473;ПВХ витражи
3780;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;136;Сантехнические модули;584;Зашивка СТМ
3790;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;456;Плитка в коридорах квартир
3800;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;096;Отделка стен МОП;290;Декоративная штукатурка стен МОП
3810;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;145;Обрамления дверей шахт лифтов (порталов)
3820;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;142;Кабина лифта
3830;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;465;Остекление каркаса лифта (бизнес)
3840;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;095;Подвесной потолок;288;Каркасы подвесного потолка
3850;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;300;Отделка мусоросборной камеры
3860;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;228;Оконечное оборудование АППЗ, приборы в МОП (извещатели, релейные модули и т.п.)
3870;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;218;Светильники МОП
3880;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;099;Обои;305;Оклейка обоями
3890;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;077;СКУД;237;Оконечное оборудование СКУД на этажах (трубки, разветвители)
3895;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;167;РАСЦО (региональная автоматизированная система централизованного оповещения);606;Оконечное оборудование РАСЦО
3900;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;076;Радиофикация (РФ, ГО и ЧС);233;Оконечное оборудование в квартирах и МОП системы радиофикации
3910;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;089;Окраска потолков;275;Окраска потолков 2 слой
3920;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;099;Обои;306;Окраска обоев
3925;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;609;СТК. КИВ в помещениях
3930;004;Надземная часть здания;021;Окна;042;Оконные и дверные балконные блоки;101;Регулировка окон, установка air box, фурнитуры, снятие пленки
3940;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);486;Кабельные линии зарядных станций
3950;005;Внутренние инженерные системы;026;Вертикальный транспорт;061;Автомобильные подъемники;147;Автомобильные подъёмники
3960;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;333;ПНР оборудования котельной
3970;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;100;Ламинат;307;Ламинат/Кварц-винил
3980;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;130;Линолеум;418;Линолеум
3990;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;085;Межкомнатные двери;264;Межкомнатные двери в квартирах
4000;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;101;Плинтусы;308;Плинтусы
4010;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;096;Отделка стен МОП;458;HPL панели
4020;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;214;Фурнитура розеток, выключателей + терморегуляторы
4030;004;Надземная часть здания;022;Двери;123;Автоматические раздвижные двери;397;Автоматические раздвижные двери
4040;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;136;Сантехнические модули;476;Сантехнические модули
4050;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;095;Подвесной потолок;289;Заполнение подвесного потолка
4060;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;129;Сантехнические перегородки;407;Сантехнические перегородки
4070;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;128;Стеклянные перегородки;406;Стеклянные перегородки
4080;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;227;Оконечное оборудование АППЗ в квартирах
4090;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;095;Подвесной потолок;482;Потолок Лифт-холл
4100;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;462;Устройство навигации (бизнес)
4110;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;483;Светильники Лифт-холл
4120;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;090;Окраска стен МОП;276;Окраска стен МОП
4130;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;126;Стеновые панели;404;Стеновые панели
4140;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;087;Отделка лестничной клетки;271;Оштукатуривание стен ЛК
4150;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;087;Отделка лестничной клетки;270;Декоративное оштукатуривание ЛК
4160;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;087;Отделка лестничной клетки;267;Отделка потолков и нижних поверхностей ЛМ и площадок
4170;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;087;Отделка лестничной клетки;272;Окраска стен ЛК
4175;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;090;Окраска стен МОП;595;Окраска стен 2 слой
4180;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;215;Светильники ЛК
4190;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;487;Щиты зарядных станций
4200;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;408;Площадки ТБО
4210;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;219;Таблички, указатели, аварийные знаки (осветительное оборудование в МОП)
4220;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;409;Шлагбаумы
4230;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;081;Часофикация;259;Оконечное оборудование часофикации
4240;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;188;Испытания вентиляционных систем
4250;005;Внутренние инженерные системы;026;Вертикальный транспорт;060;Лифты;146;ПНР лифтового оборудования
4250;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;142;Система усиления сотовой связи (CУСС);524;Оконечное оборудование СУСС
4260;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;079;Диспетчеризация;247;Оконечное оборудование АСУД  диспетчеризации
4270;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;078;Видеонаблюдение (СОТ);242;Оконечное оборудование СОТ видеонаблюдения
4280;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;430;Установка оконечного оборудования АППЗ, приборов управления (извещатели, релейные модули и т.п.)
4290;005;Внутренние инженерные системы;026;Вертикальный транспорт;125;Гидравлические подъемники;402;ПНР гидравлических подъёмников
4300;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;079;Диспетчеризация;244;Слаботочное оборудование в диспетчерской
